Country Name,Country Code,Series Name,Series Code,2002 [YR2002]
Gabon,GAB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,61.292
"Gambia, The",GMB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,57.08
Georgia,GEO,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.024
Germany,DEU,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,78.2292682926829
Ghana,GHA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,58.608
Gibraltar,GIB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,80.26
Greece,GRC,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,78.6414634146341
Greenland,GRL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,66.6117073170732
Grenada,GRD,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,73.167
Guam,GUM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.793
Guatemala,GTM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,68.386
Guinea,GIN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,53.278
Guinea-Bissau,GNB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,50.986
Guyana,GUY,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,64.728
Haiti,HTI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,58.855
Honduras,HND,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,69.366
"Hong Kong SAR, China",HKG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,81.4521951219512
Hungary,HUN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.3487804878049
Iceland,ISL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,80.5024390243903
India,IND,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,63.616
Indonesia,IDN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,67.134
"Iran, Islamic Rep.",IRN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.445
Iraq,IRQ,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,67.084
Ireland,IRL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,77.6341463414634
Isle of Man,IMN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.42
Israel,ISR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,79.4512195121951
Italy,ITA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,80.2292682926829
Jamaica,JAM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.888
Japan,JPN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,81.6907317073171
Jordan,JOR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.359
Kazakhstan,KAZ,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,65.95
Kenya,KEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,54.99
Kiribati,KIR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,64.84
"Korea, Dem. People's Rep.",PRK,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,60.792
"Korea, Rep.",KOR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.7658536585366
Kosovo,XKX,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.676
Kuwait,KWT,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.982
Kyrgyz Republic,KGZ,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,68.1560975609756
Lao PDR,LAO,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,59.534
Latvia,LVA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.9609756097561
Lebanon,LBN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.064
Lesotho,LSO,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,45.595
Liberia,LBR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,53.788
Libya,LBY,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.004
Liechtenstein,LIE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,79.6365853658537
Lithuania,LTU,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.7609756097561
Luxembourg,LUX,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,77.9658536585366
"Macao SAR, China",MAC,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,81.293
Madagascar,MDG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,58.892
Malawi,MWI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,47.221
Malaysia,MYS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,73.563
Maldives,MDV,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,73.291
Mali,MLI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,52.222
Malta,MLT,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,78.7390243902439
Marshall Islands,MHL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,63.719
Mauritania,MRT,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,61.268
Mauritius,MUS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.9658536585366
Mexico,MEX,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.106
"Micronesia, Fed. Sts.",FSM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,69.46
Moldova,MDA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,66.938
Monaco,MCO,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..
Mongolia,MNG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,63.518
Montenegro,MNE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,73.9064878048781
Morocco,MAR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,67.547
Mozambique,MOZ,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,50.59
Myanmar,MMR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,60.725
Namibia,NAM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,51.254
Nauru,NRU,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,58.181
Nepal,NPL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,63.264
Netherlands,NLD,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,78.2926829268293
New Caledonia,NCL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.1024390243903
New Zealand,NZL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,78.8463414634146
Nicaragua,NIC,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,67.18
Niger,NER,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,50.562
Nigeria,NGA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,47.928
North Macedonia,MKD,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,73.0390243902439
Northern Mariana Islands,MNP,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..
Norway,NOR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,78.9878048780488
Oman,OMN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,73.869
Pakistan,PAK,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,62.626
Palau,PLW,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..
Panama,PAN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.824
Papua New Guinea,PNG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,61.698
Paraguay,PRY,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.025
Peru,PER,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.661
Philippines,PHL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,69.781
Poland,POL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.4975609756098
Portugal,PRT,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,77.0658536585366
Puerto Rico,PRI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.728
Qatar,QAT,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.412
Romania,ROU,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.009756097561
Russian Federation,RUS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,65.1287804878049
Rwanda,RWA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,51.032
Samoa,WSM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.276
San Marino,SMR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..
Sao Tome and Principe,STP,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,62.6
Saudi Arabia,SAU,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,73.337
Senegal,SEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,58.231
Serbia,SRB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.2853658536585
Seychelles,SYC,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.0878048780488
Sierra Leone,SLE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,46.359
Singapore,SGP,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,78.5512195121951
Sint Maarten (Dutch part),SXM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.858
Slovak Republic,SVK,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,73.6048780487805
Slovenia,SVN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.0073170731707
Solomon Islands,SLB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,67.515
Somalia,SOM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,50.731
South Africa,ZAF,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,55.666
South Sudan,SSD,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,47.492
Spain,ESP,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,79.5682926829268
Sri Lanka,LKA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.117
St. Kitts and Nevis,KNA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.452
St. Lucia,LCA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.472
St. Martin (French part),MAF,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,77.031
St. Vincent and the Grenadines,VCT,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.168
Sudan,SDN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,58.976
Suriname,SUR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,65.531
Sweden,SWE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,79.8463414634146
Switzerland,CHE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,80.3853658536585
Syrian Arab Republic,SYR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.939
Tajikistan,TJK,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,64.846
Tanzania,TZA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,53.863
Thailand,THA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.93
Timor-Leste,TLS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,60.148
Togo,TGO,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,55.311
Tonga,TON,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,69.335
Trinidad and Tobago,TTO,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.488
Tunisia,TUN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.059
Turkiye,TUR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.579
Turkmenistan,TKM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,65.385
Turks and Caicos Islands,TCA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.54
Tuvalu,TUV,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,63.58
Uganda,UGA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,49.648
Ukraine,UKR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,68.2756097560976
United Arab Emirates,ARE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.901
United Kingdom,GBR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,78.1439024390244
United States,USA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.9365853658537
Uruguay,URY,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.54
Uzbekistan,UZB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,66.604
Vanuatu,VUT,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,69.196
"Venezuela, RB",VEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.662
Viet Nam,VNM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.801
Virgin Islands (U.S.),VIR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,77.5219512195122
West Bank and Gaza,PSE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.969
"Yemen, Rep.",YEM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,63.906
Zambia,ZMB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,46.979
Zimbabwe,ZWE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,44.565
Africa Eastern and Southern,AFE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,52.562781272505
Africa Western and Central,AFW,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,50.8980860716975
Arab World,ARB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,67.7989922635794
Caribbean small states,CSS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,68.7952478181172
Central Europe and the Baltics,CEB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,73.2424154880921
Early-demographic dividend,EAR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,65.2219575008991
East Asia & Pacific,EAS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.440794897004
East Asia & Pacific (excluding high income),EAP,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.4907761253985
East Asia & Pacific (IDA & IBRD countries),TEA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.6307845906158
Euro area,EMU,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,78.6301872436169
Europe & Central Asia,ECS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,73.4902348694709
Europe & Central Asia (excluding high income),ECA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,69.5030065004838
Europe & Central Asia (IDA & IBRD countries),TEC,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,68.6556775088418
European Union,EUU,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,77.5309869468716
Fragile and conflict affected situations,FCS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,56.1090326727382
Heavily indebted poor countries (HIPC),HPC,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,53.6264598838266
High income,HIC,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.4218888164917
IBRD only,IBD,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,68.9945036702574
IDA & IBRD total,IBT,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,66.3799649353225
IDA blend,IDB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,56.2885019243715
IDA only,IDX,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,57.9869860057099
IDA total,IDA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,57.4213365513584
Late-demographic dividend,LTE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.9187484002977
Latin America & Caribbean,LCN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.8488849801519
Latin America & Caribbean (excluding high income),LAC,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.5475640490083
Latin America & the Caribbean (IDA & IBRD countries),TLA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.7074966575452
Least developed countries: UN classification,LDC,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,56.8007350077772
Low & middle income,LMY,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,66.2385176541891
Low income,LIC,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,54.2606157224313
Lower middle income,LMC,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,62.738332783575
Middle East & North Africa,MEA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,69.9108613835257
Middle East & North Africa (excluding high income),MNA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,69.3107242326475
Middle East & North Africa (IDA & IBRD countries),TMN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,69.2934872308513
Middle income,MIC,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,67.3072670930188
North America,NAC,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,77.1922845224891
Not classified,INX,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..
OECD members,OED,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,77.3733887195261
Other small states,OSS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,67.2502889730303
Pacific island small states,PSS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,67.1973555586602
Post-demographic dividend,PST,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,77.791757810408
Pre-demographic dividend,PRE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,52.3532791715756
Small states,SST,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,67.5096368895161
South Asia,SAS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,63.7825105430972
South Asia (IDA & IBRD),TSA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,63.7825105430972
Sub-Saharan Africa,SSF,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,51.8890809276216
Sub-Saharan Africa (excluding high income),SSA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,51.8868440461648
Sub-Saharan Africa (IDA & IBRD countries),TSS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,51.8890809276216
Upper middle income,UMC,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.4895469280204
World,WLD,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,68.2989189126951
,,,,
,,,,
,,,,
Data from database: World Development Indicators,,,,
Last Updated: 12/16/2024,,,,
